protocol,name,tvl_usd,change_1d,change_7d,category,chains
lido,Lido,26425659503.989784,-1.3425019727036585,2.565250465945894,Liquid Staking,"['Ethereum', 'Solana', 'Terra', 'Moonriver', 'Moonbeam']"
aave-v3,Aave V3,18196521211.45173,-1.20134407043561,0.8763867432037387,Lending,"['Ethereum', 'Base', 'Arbitrum', 'Plasma', 'Avalanche', 'Monad', 'Binance', 'Polygon', 'X Layer', 'xDai', 'Optimism', 'Mantle', 'MegaETH', 'Linea', 'Sonic', 'Celo', 'Scroll', 'zkSync Era', 'Metis', 'Soneium', 'Fantom']"
pancakeswap-amm,PancakeSwap AMM,1900739765.8649743,,-0.9304278301827935,Dexs,"['Binance', 'Ethereum', 'Aptos', 'Base', 'zkSync Era', 'Arbitrum', 'Op_Bnb', 'Robinhood Chain', 'Linea', 'Monad', 'Polygon zkEVM']"
uniswap-v3,Uniswap V3,1679352997.573211,-1.11297378773736,3.8217234936764157,Dexs,"['Ethereum', 'Base', 'Arbitrum', 'Robinhood Chain', 'Binance', 'X Layer', 'Polygon', 'Optimism', 'Arc', 'Plasma', 'Unichain', 'Ink', 'xDai', 'Avalanche', 'Celo', 'Monad', 'RSK', 'World Chain', '0G', 'Etherlink', 'Filecoin', 'Boba', 'zkSync Era', 'Mantle', 'Goat', 'Sei', 'XDC', 'Nibiru', 'BOB', 'Lens', 'Hemi', 'Sonic', 'Redbelly', 'Scroll', 'Linea', 'Blast', 'Taiko', 'Lisk', 'MegaETH', 'Tempo', 'Manta', 'LightLink', 'Saga', 'Telos']"
compound-v3,Compound V3,1512009984.480027,0.05153681776826602,2.265607437429381,Lending,"['Ethereum', 'Arbitrum', 'Base', 'Optimism', 'Polygon', 'Mantle', 'Unichain', 'Linea', 'Ronin', 'Scroll']"
curve-dex,Curve DEX,1308363135.2698843,-0.036502245606044426,0.35332464030007316,Dexs,"['Ethereum', 'Fraxtal', 'Arbitrum', 'Base', 'Monad', 'Etherlink', 'Polygon', 'Plasma', 'Avalanche', 'xDai', 'Optimism', 'Fantom', 'Unichain', 'Binance', 'Robinhood Chain', 'X Layer', 'Celo', 'Sonic', 'Hyperliquid L1', 'Kava', 'XDC', 'Aurora', 'Plume Mainnet', 'TAC', 'Taiko', 'Ink', 'Stable', 'Moonbeam', 'Corn', 'Harmony', 'Arc', 'Mantle']"
